2021-09-10 14:32:50,029 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 24 was determined to be 125699.2039, output is 125699.203125
2021-09-10 14:32:50,029 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125800.2205
2021-09-10 14:32:50,030 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 25 was determined to be 125800.2205, output is 125800.21875
2021-09-10 14:32:50,030 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125623.5477
2021-09-10 14:32:50,030 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 26 was determined to be 125623.5477, output is 125623.546875
2021-09-10 14:32:50,030 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125718.1322
2021-09-10 14:32:50,030 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 27 was determined to be 125718.1322, output is 125718.1328125
2021-09-10 14:32:50,030 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125686.5882
2021-09-10 14:32:50,030 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 28 was determined to be 125686.5882, output is 125686.5859375
2021-09-10 14:32:50,031 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125812.8589
2021-09-10 14:32:50,031 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 29 was determined to be 125812.8589, output is 125812.859375
2021-09-10 14:32:50,031 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - the tryAgain flag was successfully set to false
2021-09-10 14:32:50,031 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - sending command
2021-09-10 14:32:53,033 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - resetting input buffer
2021-09-10 14:32:53,033 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - sending command: 0
2021-09-10 14:32:55,962 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - the recieved command was: 125990.0637,125648.7563,125447.3692,125793.9022,125140.2403,126040.7852,125547.9822,125497.6556,125800.2205,125844.4662,125768.6354,125478.7935,125699.2039,126059.8162,125680.2813,125522.8139,125221.5771,125844.4662,125573.1606,126135.9978,125585.7536,125655.0601,125604.6478,125497.6556,125636.1507,125598.3491,125692.8958,125926.7192,125359.4647,126047.1282
